   1.0000000e+00   1.2241000e-11
   1.0000000e+00   3.5406590e-04
   9.9857825e-01   5.5297585e-04
   9.9684239e-01   7.9584168e-04
   9.9479352e-01   1.0825158e-03
   9.9243291e-01   1.4127333e-03
   9.8976208e-01   1.7853449e-03
   9.8678271e-01   2.1996113e-03
   9.8349666e-01   2.6546854e-03
   9.7990604e-01   3.1498349e-03
   9.7601309e-01   3.6842073e-03
   9.7182028e-01   4.2569051e-03
   9.6733026e-01   4.8669733e-03
   9.6254586e-01   5.5133684e-03
   9.5747011e-01   6.1950203e-03
   9.5210621e-01   6.9108660e-03
   9.4645755e-01   7.6597176e-03
   9.4052769e-01   8.4403396e-03
   9.3432039e-01   9.2516218e-03
   9.2783956e-01   1.0092328e-02
   9.2108930e-01   1.0961093e-02
   9.1407387e-01   1.1856592e-02
   9.0679770e-01   1.2777635e-02
   8.9926539e-01   1.3722852e-02
   8.9148169e-01   1.4690863e-02
   8.8345152e-01   1.5680330e-02
   8.7517996e-01   1.6689911e-02
   8.6667222e-01   1.7718205e-02
   8.5793368e-01   1.8763779e-02
   8.4896987e-01   1.9825276e-02
   8.3978644e-01   2.0901268e-02
   8.3038919e-01   2.1990379e-02
   8.2078406e-01   2.3091175e-02
   8.1097711e-01   2.4202315e-02
   8.0097454e-01   2.5322326e-02
   7.9078268e-01   2.6449694e-02
   7.8040794e-01   2.7582998e-02
   7.6985689e-01   2.8720881e-02
   7.5913620e-01   2.9861872e-02
   7.4825263e-01   3.1004491e-02
   7.3721305e-01   3.2147221e-02
   7.2602445e-01   3.3288571e-02
   7.1469388e-01   3.4427010e-02
   7.0322851e-01   3.5561080e-02
   6.9163558e-01   3.6689125e-02
   6.7992240e-01   3.6695701e-02
   6.6809638e-01   3.6702278e-02
   6.5616498e-01   3.6708854e-02
   6.4413575e-01   3.6715431e-02
   6.3201627e-01   3.6722008e-02
   6.1981421e-01   3.6728584e-02
   6.0753728e-01   3.6735161e-02
   5.9519322e-01   3.6741738e-02
   5.8278983e-01   3.6748314e-02
   5.7033495e-01   3.6754891e-02
   5.5783645e-01   3.6761467e-02
   5.4530221e-01   3.6768044e-02
   5.3274016e-01   3.6774621e-02
   5.2015823e-01   3.6781197e-02
   5.0756436e-01   3.6787774e-02
   4.9496652e-01   3.6794351e-02
